Experiment	Sample	Study	GSM	Scientific name	Taxon id	Strategy	Source	Platform	Selection	Experiment title	Sample title	Design description	Sample attribute_BioSampleModel	Sample attribute_dev_stage	Sample attribute_scientific_name	Sample attribute_cell type	Sample attribute_treatment	Sample attribute_sub_species	Sample attribute_ENA-FIRST-PUBLIC	Sample attribute_passages	Sample attribute_ENA first public	Sample attribute_ENA-LAST-UPDATE	Sample attribute_disease	Sample attribute_ecotype	Sample attribute_cell_line	Sample attribute_External Id	Sample attribute_Submitter Id	Sample attribute_strain	Sample attribute_transcription factor	Sample attribute_INSDC first public	Sample attribute_INSDC status	Sample attribute_cell line	Sample attribute_sex	Sample attribute_antibody	Sample attribute_broker name	Sample attribute_phenotype	Sample attribute_breed	Sample attribute_source_name	Sample attribute_isolate	Sample attribute_INSDC last update	Sample attribute_age	Sample attribute_Sex	Sample attribute_biomaterial_provider	Sample attribute_individual	Sample attribute_chip antibody	Sample attribute_sample name	Sample attribute_INSDC center alias	Sample attribute_chip antibody details	Sample attribute_collection_date	Sample attribute_common name	Sample attribute_genotype	Sample attribute_developmental stage	Sample attribute_tissue	Sample attribute_replicate	Sample attribute_organism part	Sample attribute_geo_loc_name	Sample attribute_tumor grading	Sample attribute_INSDC center name	Sample attribute_cultivar	Sample attribute_ENA last update	Experiment attribute_Experimental Factor: Stationary	Experiment attribute_Experimental Factor: organism part	Experiment attribute_Experimental Factor: CTVT5	Experiment attribute_Experimental Factor: Regressive	Experiment attribute_Experimental Factor: immunoprecipitate	Experiment attribute_Experimental Factor: Progressive	Experiment attribute_Experimental Factor: CTVT6	Experiment attribute_Experimental Factor: CTVT17	Experiment attribute_Experimental Factor: organism	File information_Alternatives_1_@org	File information_@cluster	File information_@filename	File information_Alternatives_1_@url	File information_Alternatives_@access_type	File information_Alternatives_0_@access_type	File information_Alternatives_1_@free_egress	File information_Alternatives_@free_egress	File information_Alternatives_@org	File information_@version	File information_Alternatives_0_@free_egress	File information_@supertype	File information_@sratoolkit	File information_@size	File information_@semantic_name	File information_@date	File information_Alternatives_0_@org	File information_Alternatives_2_@free_egress	File information_Alternatives_1_@access_type	File information_Alternatives_2_@url	File information_@md5	File information_Alternatives_2_@org	File information_Alternatives_0_@url	File information_Alternatives_2_@access_type	File information_Alternatives_@url	File information_@url	Query
SRX19523774	SRS16910453	SRP424956		Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina NovaSeq 6000	PCR	12517_H3K27ac_CHIPSeq	Genotype represents TE insertion state at CFA6:5753797	We performed 2X50nt paired-end sequencing at the Princeton University Lewis-Siglers Genomics core facility. All reads were aligned to the CanFam 3.1 reference genome using bowtie2 v2.4.5 and sorted using samtools v1.9. Since libraries were PCR amplified, we removed duplicates (strands with same unique molecular identifiers) using umi_tools v1.1.2.	Model organism or animal	not applicable				familiaris						not applicable				not applicable					male				Labrador Retriever		Labrador_Retriever_1		14		Department of Ethology, Eötvös Loránd University, Budapest, Hungary								heterozygous		Brainstem (Pons)						not applicable											AWS	public	SRR23641240.lite	s3://sra-pub-zq-7/SRR23641240/SRR23641240.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	335537523	SRA Lite	2023-03-06 06:06:05	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-104/SRR23641240/SRR23641240.lite.1	712ee3dc25cbfbd76ae13706bf0defd9	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR023/23641/SRR23641240/SRR23641240.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR23641240/SRR23641240	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR023/23641/SRR23641240/SRR23641240.lite.1	
SRX19523773	SRS16910455	SRP424956		Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina NovaSeq 6000	PCR	12568_E2F1_CHIPSeq	Genotype represents TE insertion state at CFA6:5753797	We performed 2X50nt paired-end sequencing at the Princeton University Lewis-Siglers Genomics core facility. All reads were aligned to the CanFam 3.1 reference genome using bowtie2 v2.4.5 and sorted using samtools v1.9. Since libraries were PCR amplified, we removed duplicates (strands with same unique molecular identifiers) using umi_tools v1.1.2.	Model organism or animal	not applicable				familiaris						not applicable				not applicable					male				Mongrel		Mongrel_11		16		Department of Ethology, Eötvös Loránd University, Budapest, Hungary								heterozygous		Brainstem (Pons)						not applicable											AWS	public	SRR23641241.lite	s3://sra-pub-zq-7/SRR23641241/SRR23641241.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	84221009	SRA Lite	2023-03-06 06:05:45	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-104/SRR23641241/SRR23641241.lite.1	fd065273b19c2280ef05363c8eb780b7	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR023/23641/SRR23641241/SRR23641241.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR23641241/SRR23641241	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR023/23641/SRR23641241/SRR23641241.lite.1	
SRX19523772	SRS16910454	SRP424956		Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina NovaSeq 6000	PCR	12558_E2F1_CHIPSeq	Genotype represents TE insertion state at CFA6:5753797	We performed 2X50nt paired-end sequencing at the Princeton University Lewis-Siglers Genomics core facility. All reads were aligned to the CanFam 3.1 reference genome using bowtie2 v2.4.5 and sorted using samtools v1.9. Since libraries were PCR amplified, we removed duplicates (strands with same unique molecular identifiers) using umi_tools v1.1.2.	Model organism or animal	not applicable				familiaris						not applicable				not applicable					male				Mongrel		Mongrel_9		14		Department of Ethology, Eötvös Loránd University, Budapest, Hungary								noinsertion		Brainstem (Pons)						not applicable											AWS	public	SRR23641242.lite	s3://sra-pub-zq-7/SRR23641242/SRR23641242.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	74870932	SRA Lite	2023-03-06 06:05:55	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-104/SRR23641242/SRR23641242.lite.1	3a8f735c5d8969b8da2e91c4917a708c	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR023/23641/SRR23641242/SRR23641242.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR23641242/SRR23641242	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR023/23641/SRR23641242/SRR23641242.lite.1	
SRX15289125	SRS13020132	SRP375418	GSM6156829	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina NovaSeq 6000	ChIP	GSM6156829: ChIP_k9me3_LU_679; Canis lupus familiaris; ChIP-Seq	ChIP_k9me3_LU_679							familiaris																			Beagle	Lung				female			H3K9me3 (Abcam, #ab8898)								Lung																	AWS	public	ChIP_k9me3_LU_679_nova_1.fq.gz	s3://sra-pub-zq-4/SRR19225149/SRR19225149.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	3291068451	fastq	2022-05-16 14:49:25	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-108/SRR19225149/SRR19225149.lite.1	d871a2c3318186e92210bfd8b1238e3e	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19225/SRR19225149/SRR19225149.lite.1	gcp identity	s3://sra-pub-src-17/SRR19225149/ChIP_k9me3_LU_679_nova_1.fq.gz.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR19225149/SRR19225149	
SRX15289124	SRS13020133	SRP375418	GSM6156828	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 2500	ChIP	GSM6156828: ChIP_k9me3_LI_jj8; Canis lupus familiaris; ChIP-Seq	ChIP_k9me3_LI_jj8							familiaris																			Beagle	Liver				male			H3K9me3 (Abcam, #ab8898)								Liver																	AWS	public	SRR19225150.lite	s3://sra-pub-zq-4/SRR19225150/SRR19225150.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	1059397139	SRA Lite	2022-10-16 02:20:37	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-108/SRR19225150/SRR19225150.lite.1	94d989889cfaefe5c77eb3af03f722d6	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19225/SRR19225150/SRR19225150.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR19225150/SRR19225150	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19225/SRR19225150/SRR19225150.lite.1	
SRX15289123	SRS13020128	SRP375418	GSM6156827	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina NovaSeq 6000	ChIP	GSM6156827: ChIP_k9me3_LI_679; Canis lupus familiaris; ChIP-Seq	ChIP_k9me3_LI_679							familiaris																			Beagle	Liver				female			H3K9me3 (Abcam, #ab8898)								Liver																	AWS	public	SRR19225151.lite	s3://sra-pub-zq-5/SRR19225151/SRR19225151.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	2294301365	SRA Lite	2022-10-20 23:53:45	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-108/SRR19225151/SRR19225151.lite.1	5579f13ef75e878b105c7114fa272f3a	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19225/SRR19225151/SRR19225151.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR19225151/SRR19225151	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19225/SRR19225151/SRR19225151.lite.1	
SRX15289122	SRS13020129	SRP375418	GSM6156778	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 2500	ChIP	GSM6156778: ChIP_k27ac_CR_jj8; Canis lupus familiaris; ChIP-Seq	ChIP_k27ac_CR_jj8							familiaris																			Beagle	Cerebrum				male			H3K27ac (Abcam, #ab4729)								Cerebrum																	AWS	public	SRR19225152.lite	s3://sra-pub-zq-4/SRR19225152/SRR19225152.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	1002914084	SRA Lite	2022-10-15 13:25:58	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-108/SRR19225152/SRR19225152.lite.1	b71f2e42b28df6c0edb72f900b79eca6	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19225/SRR19225152/SRR19225152.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR19225152/SRR19225152	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19225/SRR19225152/SRR19225152.lite.1	
SRX15289121	SRS13020131	SRP375418	GSM6156777	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina NovaSeq 6000	ChIP	GSM6156777: ChIP_k27ac_CR_679; Canis lupus familiaris; ChIP-Seq	ChIP_k27ac_CR_679							familiaris																			Beagle	Cerebrum				female			H3K27ac (Abcam, #ab4729)								Cerebrum																	AWS	public	SRR19225153.lite	s3://sra-pub-zq-4/SRR19225153/SRR19225153.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	2205278796	SRA Lite	2022-10-12 03:42:46	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-108/SRR19225153/SRR19225153.lite.1	7b1e07cd9b0c5bf13f531b5f48b1c861	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19225/SRR19225153/SRR19225153.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR19225153/SRR19225153	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19225/SRR19225153/SRR19225153.lite.1	
SRX15289120	SRS13020130	SRP375418	GSM6156776	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 2500	ChIP	GSM6156776: ChIP_k27ac_CL_jj8; Canis lupus familiaris; ChIP-Seq	ChIP_k27ac_CL_jj8							familiaris																			Beagle	Cerebellum				male			H3K27ac (Abcam, #ab4729)								Cerebellum																	AWS	public	SRR19225154.lite	s3://sra-pub-zq-4/SRR19225154/SRR19225154.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	535194745	SRA Lite	2022-10-13 16:27:49	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-108/SRR19225154/SRR19225154.lite.1	ade725a917bb6547116073056df02c33	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19225/SRR19225154/SRR19225154.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR19225154/SRR19225154	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19225/SRR19225154/SRR19225154.lite.1	
SRX15289119	SRS13020127	SRP375418	GSM6156775	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina NovaSeq 6000	ChIP	GSM6156775: ChIP_k27ac_CL_679; Canis lupus familiaris; ChIP-Seq	ChIP_k27ac_CL_679							familiaris																			Beagle	Cerebellum				female			H3K27ac (Abcam, #ab4729)								Cerebellum																	AWS	public	ChIP_k27ac_CL_679_nova_1.fq.gz	s3://sra-pub-zq-5/SRR19225155/SRR19225155.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	2377679958	fastq	2022-05-16 14:40:12	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-108/SRR19225155/SRR19225155.lite.1	bfdfedd922f08e3cd31173a0d33062ff	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19225/SRR19225155/SRR19225155.lite.1	gcp identity	s3://sra-pub-src-11/SRR19225155/ChIP_k27ac_CL_679_nova_1.fq.gz.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR19225155/SRR19225155	
SRX15289118	SRS13020126	SRP375418	GSM6156774	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 2500	ChIP	GSM6156774: ChIP_k4me1_ST_jj8; Canis lupus familiaris; ChIP-Seq	ChIP_k4me1_ST_jj8							familiaris																			Beagle	Stomach				male			H3K4me1 (Abcam, #ab8895)								Stomach																	AWS	public	SRR19225156.lite	s3://sra-pub-zq-4/SRR19225156/SRR19225156.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	1239696718	SRA Lite	2022-10-13 16:29:54	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-108/SRR19225156/SRR19225156.lite.1	da596383373c4e78db263607553f48e5	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19225/SRR19225156/SRR19225156.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR19225156/SRR19225156	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19225/SRR19225156/SRR19225156.lite.1	
SRX15289117	SRS13020125	SRP375418	GSM6156773	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina NovaSeq 6000	ChIP	GSM6156773: ChIP_k4me1_ST_679; Canis lupus familiaris; ChIP-Seq	ChIP_k4me1_ST_679							familiaris																			Beagle	Stomach				female			H3K4me1 (Abcam, #ab8895)								Stomach																	AWS	public	ChIP_k4me1_ST_679_nova_1.fq.gz	s3://sra-pub-zq-4/SRR19225157/SRR19225157.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	2457692305	fastq	2022-05-16 14:41:24	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-108/SRR19225157/SRR19225157.lite.1	256f2750b6686f87ccc384049cc21ec2	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19225/SRR19225157/SRR19225157.lite.1	gcp identity	s3://sra-pub-src-13/SRR19225157/ChIP_k4me1_ST_679_nova_1.fq.gz.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR19225157/SRR19225157	
SRX15289116	SRS13020124	SRP375418	GSM6156772	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 2500	ChIP	GSM6156772: ChIP_k4me1_SP_jj8; Canis lupus familiaris; ChIP-Seq	ChIP_k4me1_SP_jj8							familiaris																			Beagle	Spleen				male			H3K4me1 (Abcam, #ab8895)								Spleen																	AWS	public	ChIP_k4me1_SP_jj8_1.fq.gz	s3://sra-pub-zq-1/SRR19225158/SRR19225158.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	1863649986	fastq	2022-05-16 14:34:18	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-101/SRR19225158/SRR19225158.lite.1	52d4ae3e7465a75804df53b70305c16c	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19225/SRR19225158/SRR19225158.lite.1	gcp identity	s3://sra-pub-src-10/SRR19225158/ChIP_k4me1_SP_jj8_1.fq.gz.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR19225158/SRR19225158	
SRX15289115	SRS13020123	SRP375418	GSM6156771	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina NovaSeq 6000	ChIP	GSM6156771: ChIP_k4me1_SP_679; Canis lupus familiaris; ChIP-Seq	ChIP_k4me1_SP_679							familiaris																			Beagle	Spleen				female			H3K4me1 (Abcam, #ab8895)								Spleen																	AWS	public	ChIP_k4me1_SP_679_nova_1.fq.gz	s3://sra-pub-zq-4/SRR19225159/SRR19225159.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	3685693248	fastq	2022-05-16 14:53:52	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-108/SRR19225159/SRR19225159.lite.1	8f4b97166378bbed2b1f76880b6bbb74	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19225/SRR19225159/SRR19225159.lite.1	gcp identity	s3://sra-pub-src-3/SRR19225159/ChIP_k4me1_SP_679_nova_1.fq.gz.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR19225159/SRR19225159	
SRX15289114	SRS13020121	SRP375418	GSM6156754	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 2500	ChIP	GSM6156754: ChIP_k4me1_CL_jj8; Canis lupus familiaris; ChIP-Seq	ChIP_k4me1_CL_jj8							familiaris																			Beagle	Cerebellum				male			H3K4me1 (Abcam, #ab8895)								Cerebellum																	AWS	public	ChIP_k4me1_CL_jj8_1.fq.gz	s3://sra-pub-zq-4/SRR19225160/SRR19225160.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	963708067	fastq	2022-05-16 14:48:16	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-108/SRR19225160/SRR19225160.lite.1	1c9ff988addbcbbcf61c79524209b645	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19225/SRR19225160/SRR19225160.lite.1	gcp identity	s3://sra-pub-src-3/SRR19225160/ChIP_k4me1_CL_jj8_1.fq.gz.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR19225160/SRR19225160	
SRX15289113	SRS13020122	SRP375418	GSM6156753	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina NovaSeq 6000	ChIP	GSM6156753: ChIP_k4me1_CL_679; Canis lupus familiaris; ChIP-Seq	ChIP_k4me1_CL_679							familiaris																			Beagle	Cerebellum				female			H3K4me1 (Abcam, #ab8895)								Cerebellum																	AWS	public	SRR19225161.lite	s3://sra-pub-zq-5/SRR19225161/SRR19225161.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	2346935115	SRA Lite	2022-10-21 16:15:31	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-108/SRR19225161/SRR19225161.lite.1	e295a5901279f9d001bf3002b50cac1b	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19225/SRR19225161/SRR19225161.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR19225161/SRR19225161	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19225/SRR19225161/SRR19225161.lite.1	
SRX15289112	SRS13020120	SRP375418	GSM6156752	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 2500	ChIP	GSM6156752: ChIP_k4me3_ST_jj8; Canis lupus familiaris; ChIP-Seq	ChIP_k4me3_ST_jj8							familiaris																			Beagle	Stomach				male			H3K4me3 (Abcam, #ab8580)								Stomach																	AWS	public	SRR19225162.lite	s3://sra-pub-zq-4/SRR19225162/SRR19225162.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	1128817679	SRA Lite	2022-10-13 16:29:22	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-108/SRR19225162/SRR19225162.lite.1	e49e7945b7fe8424df8e8e74295880cb	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19225/SRR19225162/SRR19225162.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR19225162/SRR19225162	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19225/SRR19225162/SRR19225162.lite.1	
SRX15289111	SRS13020119	SRP375418	GSM6156751	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina NovaSeq 6000	ChIP	GSM6156751: ChIP_k4me3_ST_679; Canis lupus familiaris; ChIP-Seq	ChIP_k4me3_ST_679							familiaris																			Beagle	Stomach				female			H3K4me3 (Abcam, #ab8580)								Stomach																	AWS	public	SRR19225163.lite	s3://sra-pub-zq-5/SRR19225163/SRR19225163.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	2397742173	SRA Lite	2022-10-20 23:53:46	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-108/SRR19225163/SRR19225163.lite.1	5a3833831c89d352278bc1008dd884fd	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19225/SRR19225163/SRR19225163.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR19225163/SRR19225163	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19225/SRR19225163/SRR19225163.lite.1	
SRX15289110	SRS13020117	SRP375418	GSM6156750	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 2500	ChIP	GSM6156750: ChIP_k4me3_SP_jj8; Canis lupus familiaris; ChIP-Seq	ChIP_k4me3_SP_jj8							familiaris																			Beagle	Spleen				male			H3K4me3 (Abcam, #ab8580)								Spleen																	AWS	public	ChIP_k4me3_SP_jj8_1.fq.gz	s3://sra-pub-zq-4/SRR19225164/SRR19225164.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	1675721838	fastq	2022-05-16 14:36:05	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-108/SRR19225164/SRR19225164.lite.1	e37b740478471dff002d870652731bb1	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19225/SRR19225164/SRR19225164.lite.1	gcp identity	s3://sra-pub-src-17/SRR19225164/ChIP_k4me3_SP_jj8_1.fq.gz.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR19225164/SRR19225164	
SRX15289109	SRS13020118	SRP375418	GSM6156749	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina NovaSeq 6000	ChIP	GSM6156749: ChIP_k4me3_SP_679; Canis lupus familiaris; ChIP-Seq	ChIP_k4me3_SP_679							familiaris																			Beagle	Spleen				female			H3K4me3 (Abcam, #ab8580)								Spleen																	AWS	public	ChIP_k4me3_SP_679_nova_1.fq.gz	s3://sra-pub-zq-5/SRR19225165/SRR19225165.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	2990484913	fastq	2022-05-16 14:45:11	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-108/SRR19225165/SRR19225165.lite.1	f6e7286fea3306a544c0500340c932a9	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19225/SRR19225165/SRR19225165.lite.1	gcp identity	s3://sra-pub-src-15/SRR19225165/ChIP_k4me3_SP_679_nova_1.fq.gz.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR19225165/SRR19225165	
SRX15289108	SRS13020116	SRP375418	GSM6156748	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 2500	ChIP	GSM6156748: ChIP_k4me3_PA_679; Canis lupus familiaris; ChIP-Seq	ChIP_k4me3_PA_679							familiaris																			Beagle	Pancreas				female			H3K4me3 (Abcam, #ab8580)								Pancreas																	AWS	public	SRR19225166.lite	s3://sra-pub-zq-4/SRR19225166/SRR19225166.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	537083233	SRA Lite	2022-10-16 02:16:36	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-108/SRR19225166/SRR19225166.lite.1	32d2d31e2da076ecc5e7638481dd3e41	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19225/SRR19225166/SRR19225166.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR19225166/SRR19225166	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19225/SRR19225166/SRR19225166.lite.1	
SRX15289107	SRS13020115	SRP375418	GSM6156747	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina NovaSeq 6000	ChIP	GSM6156747: ChIP_k4me3_PA_244; Canis lupus familiaris; ChIP-Seq	ChIP_k4me3_PA_244							familiaris																			Beagle	Pancreas				female			H3K4me3 (Abcam, #ab8580)								Pancreas																	AWS	public	SRR19225167.lite	s3://sra-pub-zq-5/SRR19225167/SRR19225167.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	2539419591	SRA Lite	2022-10-22 06:29:44	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-108/SRR19225167/SRR19225167.lite.1	2cc595e1573d168bd310b6a34e20e563	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19225/SRR19225167/SRR19225167.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR19225167/SRR19225167	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19225/SRR19225167/SRR19225167.lite.1	
